"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
0,1951,"R26",0.0141190039542057,0.0141190039542057,9.2503696873895e-06,206
0,1951,"R85",0.0126310754710576,0.0126310754710576,9.2503696873895e-06,206
0,1952,"R26",0.0119649658935746,0.0119649658935746,4.4305458388738e-06,206
0,1952,"R85",0.0103241861565861,0.0103241861565861,4.4305458388738e-06,206
0,1953,"R26",0.00975461570181577,0.00975461570181577,1.33239502098093e-06,206
0,1953,"R85",0.00757961802372847,0.00757961802372847,2.06638629777582e-06,206
0,1954,"R26",0.00428759980470734,0.00428759980470734,0,206
0,1954,"R85",0.00342635080392791,0.00342635080392791,0,206
0,1955,"R26",0,0,0,206
0,1955,"R85",0,0,0,206
0,1956,"R26",-0.00270302210364564,-0.00270302210364564,0,206
0,1956,"R85",-0.00272942884155992,-0.00272942884155992,0,206
0,1957,"R26",-0.00589876271360897,-0.00589876271360897,-2.76762074339724e-06,206
0,1957,"R85",-0.0051640343721113,-0.0051640343721113,-2.76762074339724e-06,206
0,1958,"R26",-0.0106973930301198,-0.0106973930301198,-8.58882145173451e-07,206
0,1958,"R85",-0.00820097916828806,-0.00820097916828806,-8.58882145173451e-07,206
0,1959,"R26",-0.0162972773347817,-0.0162972773347817,-1.03567166076235e-05,206
0,1959,"R85",-0.0121262389984611,-0.0121262389984611,-1.10902848039864e-05,206
0,1960,"R26",-0.021460631112338,-0.021460631112338,-2.18369528631931e-05,206
0,1960,"R85",-0.0153505566101856,-0.0153505566101856,-2.12047025762163e-05,206
0,1961,"R26",-0.0201456770904164,-0.0201456770904164,-3.54719913802648e-05,206
0,1961,"R85",-0.0120396653229387,-0.0120396653229387,-4.06783236707362e-05,206
0,1962,"R26",-0.0228422265130374,-0.0228422265130374,-3.23172846631673e-05,206
0,1962,"R85",-0.0128282901177419,-0.0128282901177419,-4.43807252607325e-05,206
0,1963,"R26",-0.0252001239605554,-0.0252001239605554,-5.83368006644528e-05,206
0,1963,"R85",-0.0131770218141417,-0.0131770218141417,-5.83368005961389e-05,206
0,1964,"R26",-0.0259427869515647,-0.0259427869515647,-6.29078974337947e-05,206
0,1964,"R85",-0.0133017151332661,-0.0133017151332661,-5.37532757458724e-05,206
0,1965,"R26",-0.0263830495168449,-0.0263830495168449,-0.00011043354998419,206
0,1965,"R85",-0.0126889991227948,-0.0126889991227948,-0.00011043354998419,206
0,1966,"R26",-0.0285567490069944,-0.0285567490069944,-0.000223258412273062,206
0,1966,"R85",-0.0139029305444199,-0.0139029305444199,-0.000223258412273062,206
0,1967,"R26",-0.0312661801233607,-0.0312661801233607,-0.000357700905046276,206
0,1967,"R85",-0.0153692656201546,-0.0153692656201546,-0.000383675603788945,206
0,1968,"R26",-0.029967500545269,-0.029967500545269,-0.000187310199360728,206
0,1968,"R85",-0.0135481371598456,-0.0135481371598456,-0.00023603505216833,206
0,1969,"R26",-0.0264312267599887,-0.0264312267599887,-0.000283728300781716,206
0,1969,"R85",-0.00930361188791308,-0.00930361188791308,-0.000283728300364359,206
0,1970,"R26",-0.0263386641455216,-0.0263386641455216,-0.000438361897180754,206
0,1970,"R85",-0.00914887414392259,-0.00914887414392259,-0.000438361897637648,206
0,1971,"R26",-0.0316783531244006,-0.0316783531244006,-0.000384969058783324,206
0,1971,"R85",-0.0143024973309501,-0.0143024973309501,-0.00040321221612144,206
0,1972,"R26",-0.0350554869535342,-0.0350554869535342,-0.000415022557859634,206
0,1972,"R85",-0.0173711342901422,-0.0173711342901422,-0.000493024018861273,206
0,1973,"R26",-0.0373019544488421,-0.0373019544488421,-0.000811178368226437,206
0,1973,"R85",-0.019057902719836,-0.019057902719836,-0.000811178368226437,206
0,1974,"R26",-0.0403956520051148,-0.0403956520051148,-0.00134298418120376,206
0,1974,"R85",-0.0217197521649276,-0.0217197521649276,-0.00173052500563077,206
0,1975,"R26",-0.0455710267621355,-0.0455710267621355,-0.00166128351182808,206
