"species","RCP","OA","meanlatinit","meanslope","decshift"
690003,"R85","N",57.8750842248132,-0.0016101511947612,-1.78726782618493
690003,"R85","Y",57.8755990012947,-0.00114316814289207,-1.2689166386102
690005,"R85","N",10.5817221521382,0.035136517442321,39.0015343609764
690005,"R85","Y",10.5813381330939,0.0350183631457023,38.8703830917296
690009,"R85","N",8.66541925136416,-0.00830839005162605,-9.22231295730492
690009,"R85","Y",8.66553681168007,-0.00784747559121018,-8.7106979062433
690010,"R85","N",44.8844121134498,0.00672520316027543,7.46497550790573
690010,"R85","Y",44.8840120740965,0.00669114698879749,7.42717315756522
690011,"R85","N",44.2847027378516,0.00643981734631111,7.14819725440533
690011,"R85","Y",44.2843462782143,0.00632830157969288,7.0244147534591
690013,"R85","N",-0.700579451070582,0.000308997746669412,0.342987498803047
690013,"R85","Y",-0.700732112119517,0.000270624193914474,0.300392855245066
690016,"R85","N",-65.9720069164949,-0.00325996128096778,-3.61855702187424
690016,"R85","Y",-65.9713994646135,-0.00411830949375967,-4.57132353807324
690018,"R85","N",-67.6974051479063,-0.00150615883396857,-1.67183630570511
690018,"R85","Y",-67.697580226459,-0.00131744492070711,-1.46236386198489
690022,"R85","N",-38.2376111542028,-0.00890974114930442,-9.88981267572791
690022,"R85","Y",-38.2376948623185,-0.00883147002436932,-9.80293172704994
690023,"R85","N",-45.1331675317208,-0.0253907477475006,-28.1837299997257
690023,"R85","Y",-45.1331675317208,-0.0253904151659522,-28.183360834207
690024,"R85","N",-33.9585412800731,-0.00954394520960679,-10.5937791826635
690024,"R85","Y",-33.9585106028617,-0.00917532712980333,-10.1846131140817
690029,"R85","N",48.4374473936619,0.00129579459069027,1.43833199566621
690029,"R85","Y",48.4359358679439,0.00121464531535968,1.34825630004925
690030,"R85","N",31.1178995637399,-0.000574477820135447,-0.637670380350346
690030,"R85","Y",31.1177252320549,-0.0111335233390975,-12.3582109063982
690031,"R85","N",28.8286235093548,0.00400214053380321,4.44237599252156
690031,"R85","Y",28.8287273372529,0.00309453468821585,3.43493350391959
690032,"R85","N",11.9442540574061,-0.00398576031385873,-4.42419394838319
690032,"R85","Y",11.9443871650967,-0.00393974395298241,-4.37311578781047
690033,"R85","N",40.1031620256569,0.0173605857600768,19.2702501936853
690033,"R85","Y",40.0998950963188,0.0168838952773551,18.7411237578641
690036,"R85","N",-12.9891005759946,-0.0307731555242338,-34.1582026318995
690036,"R85","Y",-12.9891005759946,-0.02463523837055,-27.3451145913105
690039,"R85","N",-28.5515614071942,-0.00401942914079485,-4.46156634628228
690039,"R85","Y",-28.5515678513556,-0.00404748186605686,-4.49270487132312
690042,"R85","N",-0.795471278049446,0.0160536110361505,17.8195082501271
690042,"R85","Y",-0.795378221109167,0.0161169285501846,17.8897906907049
690043,"R85","N",32.113540159174,0.00284708472927626,3.16026404949665
690043,"R85","Y",32.1135415830532,0.00284285655663027,3.1555707778596
690047,"R85","N",25.9254069228505,0.00395765309242416,4.39299493259082
690047,"R85","Y",25.9254490116888,0.00374016245297686,4.15158032280431
690049,"R85","N",-36.0590680898877,-0.00385609409796912,-4.28026444874572
690049,"R85","Y",-36.0590679873655,-0.00381535343822358,-4.23504231642817
690050,"R85","N",-0.370720234042506,0.0180628160855576,20.049725854969
690050,"R85","Y",-0.37076437899361,0.0180849388358001,20.0742821077381
690051,"R85","N",35.2873173626444,0.00142220761885934,1.57865045693387
690051,"R85","Y",35.2873171824692,0.00142083854837164,1.57713078869252
690052,"R85","N",13.7065300755781,0.00369208684658418,4.09821639970844
690052,"R85","Y",13.7065137274007,0.00374225061690922,4.15389818476924
690053,"R85","N",53.8378093713902,0.0109328480910231,12.1354613810357
690053,"R85","Y",53.8382150661345,0.0109158677962545,12.1166132538425
690054,"R85","N",12.8924953363668,-0.00724666656155781,-8.04379988332917
690054,"R85","Y",12.8973611292132,-0.00753770559836211,-8.36685321418194
690055,"R85","N",0.855932062169327,0.0251863062210316,27.9567999053451
690055,"R85","Y",0.855636313219736,0.0244504026899121,27.1399469858024
690059,"R85","N",23.9499093879311,0.0422262459849629,46.8711330433089
690059,"R85","Y",23.9499113317266,0.0427309129459812,47.4313133700391
690060,"R85","N",6.615037740611,0.0190110624148506,21.1022792804841
690060,"R85","Y",6.61640481723716,0.0180066512813679,19.9873829223184
690064,"R85","N",55.5255156826,-0.0080746768941565,-8.96289135251371
690064,"R85","Y",55.5207160661424,-0.0117856405179318,-13.0820609749043
690065,"R85","N",21.2136399414244,-0.00586570143960551,-6.51092859796212
690065,"R85","Y",21.2148960669393,-0.00559415064929079,-6.20950722071277
690067,"R85","N",-27.1670242188303,-0.0129332087371496,-14.3558616982361
690067,"R85","Y",-27.1670227386907,-0.0129141188262394,-14.3346718971258
690069,"R85","N",-27.7999105984609,-0.0183026408906041,-20.3159313885706
690069,"R85","Y",-27.8749725772122,-0.0175307375130751,-19.4591186395133
690070,"R85","N",22.9349589913825,0.0239331110877861,26.5657533074426
690070,"R85","Y",22.938276302618,0.0238005492253939,26.4186096401872
690071,"R85","N",14.0324556380421,0.00181705134594618,2.01692699400026
690071,"R85","Y",14.0323775978377,0.00179405671982654,1.99140295900745
690075,"R85","N",-22.1135673571813,0.0318978825464149,35.4066496265205
690075,"R85","Y",-22.1168665412941,0.0334897024228155,37.1735696893252
690076,"R85","N",-47.6751409702748,0.00281235525440329,3.12171433238765
690076,"R85","Y",-47.6759801932233,0.0030846613769715,3.42397412843836
690077,"R85","N",-34.7682980914789,-2.96032505706172e-05,-0.0328596081333851
690077,"R85","Y",-34.7682976267036,-2.9609350302937e-05,-0.0328663788362601
690078,"R85","N",-35.1502285144448,0.00548695230445819,6.09051705794859
690078,"R85","Y",-35.1478560762555,0.00714321225636293,7.92896560456285
690081,"R85","N",-37.0307400865972,-0.0097713963841858,-10.8462499864462
690081,"R85","Y",-37.0287940348417,-0.00955776615286874,-10.6091204296843
690082,"R85","N",-45.6807926793646,0.0072073239516735,8.00012958635759
690082,"R85","Y",-45.6808284841391,0.00724137125784576,8.03792209620879
690085,"R85","N",24.9354881985473,0.016774489607721,18.6196834645704
690085,"R85","Y",24.9355335384539,0.0165631521881147,18.3850989288073
690087,"R85","N",50.2421365085052,0.00455131477363993,5.05195939874033
690087,"R85","Y",50.2417703523774,0.00169038930811224,1.87633213200458
690088,"R85","N",16.129229932074,0.00184343282556007,2.04621043637168
690088,"R85","Y",16.1273027620005,0.00173564183389105,1.92656243561906
690089,"R85","N",48.9919229197078,0.00248439671739034,2.75768035630328
690089,"R85","Y",48.9918334514886,0.00247799881697842,2.75057868684604
690090,"R85","N",41.663207127228,-0.0282922271438042,-31.4043721296227
690090,"R85","Y",41.6650581062611,-0.0356264313856269,-39.5453388380458
690091,"R85","N",49.624478984845,-0.00456417460166364,-5.06623380784664
690091,"R85","Y",49.6215846318906,-0.00850004854313049,-9.43505388287485
690092,"R85","N",47.1578971479774,-0.0117937810370048,-13.0910969510753
690092,"R85","Y",47.1554622841693,-0.0119662525111615,-13.2825402873892
690100,"R85","N",12.1088487252046,-0.00836613506453221,-9.28640992163076
690100,"R85","Y",12.0983202459218,-0.00893831317239694,-9.9215276213606
690105,"R85","N",8.86485524051671,0.00118883218986291,1.31960373074783
690105,"R85","Y",8.8648671454453,0.00126157410385108,1.4003472552747
690109,"R85","N",22.5560205183242,0.0134982469528907,14.9830541177087
690109,"R85","Y",22.5560688636841,0.0134543906079312,14.9343735748036
690115,"R85","N",50.00320723719,0.00606052298396539,6.72718051220159
690115,"R85","Y",50.0013143505486,0.0051907292780265,5.76170949860942
690119,"R85","N",47.7389268829703,0.00767871027872096,8.52336840938027
690119,"R85","Y",47.7383419130299,0.00757677780378207,8.4102233621981
690120,"R85","N",-15.0896481587271,-0.00945492355458456,-10.4949651455889
690120,"R85","Y",-15.0896462603209,-0.00957026169553607,-10.622990482045
690122,"R85","N",55.1066614475803,0.0153574354308715,17.0467533282673
690122,"R85","Y",55.1076105390813,0.0143586897839686,15.9381456602051
690123,"R85","N",45.2056217899321,-0.00944656721932209,-10.4856896134475
690123,"R85","Y",45.2087164633061,-0.00970488478908722,-10.7724221158868
690124,"R85","N",41.4228434506369,-0.042518584434304,-47.1956287220775
690124,"R85","Y",41.4228497662335,-0.0397795858269976,-44.1553402679673
690125,"R85","N",47.9475742046649,-0.00835839879035544,-9.27782265729454
690125,"R85","Y",47.9470800192341,-0.00851951447716204,-9.45666106964986
690126,"R85","N",49.3996640806181,-0.00763023321760689,-8.46955887154365
690126,"R85","Y",49.3972941898708,-0.00829606036016441,-9.20862699978249
690127,"R85","N",-43.9712279339784,-0.00206958084435,-2.2972347372285
690127,"R85","Y",-43.9697811104792,-0.00171233531396464,-1.90069219850075
690133,"R85","N",26.7194432652187,-0.00470783091045735,-5.22569231060766
690133,"R85","Y",26.7220486702804,-0.00467771068030095,-5.19225885513405
690143,"R85","N",0.133004613230849,0.0213890717532176,23.7418696460715
690143,"R85","Y",0.132565549295681,0.020382721744326,22.6248211362019
690146,"R85","N",34.3444513721557,0.00191961894947399,2.13077703391613
690146,"R85","Y",34.3444801320903,0.00187132376416419,2.07716937822225
