"species","RCP","OA","meanRangeDiff","meanRangePerCh"
690003,"R85","N",-905814.977151515,-37.1515048325226
690003,"R85","Y",-942396.618363636,-38.5727073695953
690005,"R85","N",-433423.136575758,-10.6471444123429
690005,"R85","Y",-443911.056878788,-10.9041932677427
690009,"R85","N",185050.466424243,5.61119417601427
690009,"R85","Y",175437.109272727,5.32208729811416
690010,"R85","N",-15708.6981212122,-1.45124870578005
690010,"R85","Y",-16247.2005454546,-1.50054476541132
690011,"R85","N",-2214.76427272738,-0.185658021521965
690011,"R85","Y",-4102.63366666669,-0.339012179283542
690013,"R85","N",-427.329242424108,-0.00534175882063691
690013,"R85","Y",-427.329242424108,-0.00534175882063691
690016,"R85","N",-3790480.01942424,-23.9012955800171
690016,"R85","Y",-6745290.41087879,-42.530517537523
690018,"R85","N",-451611.121727273,-11.4820008197376
690018,"R85","Y",-455522.848090909,-11.5813661662092
690022,"R85","N",206304.472272727,28.526608834843
690022,"R85","Y",206052.597727273,28.4922040295412
690023,"R85","N",2870276.50681818,184.280066722733
690023,"R85","Y",2855724.52015152,183.329147445199
690024,"R85","N",383118.479181818,55.5834716391978
690024,"R85","Y",382103.067363636,55.4351251889745
690029,"R85","N",322138.317242424,31.7940378327872
690029,"R85","Y",320106.30269697,31.5956308179362
690030,"R85","N",-301162.705818182,-37.1834097682325
690030,"R85","Y",-487521.882484848,-60.7208244021435
690031,"R85","N",-51430.0765757576,-4.33997974621537
690031,"R85","Y",-53030.9685454546,-4.47652000811066
690032,"R85","N",-41773.6640303029,-1.32501738256719
690032,"R85","Y",-41496.6916060604,-1.31622205655079
690033,"R85","N",198985.342393939,18.0817552097953
690033,"R85","Y",193675.051787879,17.6041468263028
690036,"R85","N",98906974.3018788,32955.006741672
690036,"R85","Y",-261417.781757576,-93.7222778347841
690039,"R85","N",-2176.2855151515,-1.35265177464833
690039,"R85","Y",-2176.2855151515,-1.35265177464833
690042,"R85","N",-1329146.40057576,-30.5733904057613
690042,"R85","Y",-1329285.92875758,-30.5766582136446
690043,"R85","N",60655.3192424243,15.8002203530202
690043,"R85","Y",60250.7395454545,15.6919800530676
690047,"R85","N",-53815.5419090909,-4.97822424994312
690047,"R85","Y",-55370.5146363637,-5.11389418704953
690049,"R85","N",6195.31442424242,1.37186494374081
690049,"R85","Y",5654.29715151514,1.25792292441415
690050,"R85","N",-591751.449393939,-11.8507095108892
690050,"R85","Y",-592867.183333333,-11.8729433889805
